"Match","Round","Home Team","Away Team","Winner","Next Match","Status","Date"
"73","Last 32","South Africa","Canada","","89","Scheduled","28/06/2026"
"74","Last 32","Germany","TBD","","90","Scheduled","29/06/2026"
"75","Last 32","Netherlands","Morocco","","89","Scheduled","29/06/2026"
"76","Last 32","Brazil","Japan","","91","Scheduled","29/06/2026"
"77","Last 32","TBD","TBD","","90","Scheduled","30/06/2026"
"78","Last 32","Ivory Coast","TBD","","91","Scheduled","30/06/2026"
"79","Last 32","Mexico","TBD","","92","Scheduled","30/06/2026"
"80","Last 32","TBD","TBD","","92","Scheduled","01/07/2026"
"81","Last 32","USA","Bosnia and Herzegovina","","94","Scheduled","01/07/2026"
"82","Last 32","TBD","TBD","","94","Scheduled","01/07/2026"
"83","Last 32","TBD","TBD","","93","Scheduled","02/07/2026"
"84","Last 32","TBD","TBD","","93","Scheduled","02/07/2026"
"85","Last 32","Switzerland","TBD","","96","Scheduled","02/07/2026"
"86","Last 32","Argentina","TBD","","95","Scheduled","03/07/2026"
"87","Last 32","TBD","TBD","","96","Scheduled","03/07/2026"
"88","Last 32","Australia","TBD","","95","Scheduled","03/07/2026"
"89","Last 16","TBD","TBD","","97","Scheduled","04/07/2026"
"90","Last 16","TBD","TBD","","97","Scheduled","04/07/2026"
"91","Last 16","TBD","TBD","","99","Scheduled","05/07/2026"
"92","Last 16","TBD","TBD","","99","Scheduled","05/07/2026"
"93","Last 16","TBD","TBD","","98","Scheduled","06/07/2026"
"94","Last 16","TBD","TBD","","98","Scheduled","06/07/2026"
"95","Last 16","TBD","TBD","","100","Scheduled","07/07/2026"
"96","Last 16","TBD","TBD","","100","Scheduled","07/07/2026"
"97","Quarter Final","TBD","TBD","","101","Scheduled","09/07/2026"
"98","Quarter Final","TBD","TBD","","101","Scheduled","10/07/2026"
"99","Quarter Final","TBD","TBD","","102","Scheduled","10/07/2026"
"100","Quarter Final","TBD","TBD","","102","Scheduled","11/07/2026"
"101","Semi Final","TBD","TBD","","104","Scheduled","14/07/2026"
"102","Semi Final","TBD","TBD","","104","Scheduled","15/07/2026"
"103","Third Place","TBD","TBD","","","Scheduled","18/07/2026"
"104","Final","TBD","TBD","","","Scheduled","19/07/2026"
